Questions,Answers
What is the capital of France?,Paris
Who wrote the play Hamlet?,William Shakespeare
What is the largest mammal on Earth?,Blue whale
How many continents are there?,Seven
What is the chemical symbol for water?,H2O
Who painted the Mona Lisa?,Leonardo da Vinci
In what year did the Titanic sink?,1912
What is the currency of Japan?,Japanese Yen
What is the square root of 64?,8
Which planet is known as the Red Planet?,Mars
Who is the current president of the United States?,Joe Biden
What is the main ingredient in guacamole?,Avocado
Who discovered penicillin?,Alexander Fleming
What is the tallest mountain in the world?,Mount Everest
What is the speed of light?,299
Who painted Starry Night?,Vincent van Gogh
What is the largest ocean on Earth?,Pacific Ocean
How many bones are in the adult human body?,206
Who wrote Romeo and Juliet?,William Shakespeare
What is the capital of Australia?,Canberra
What is the boiling point of water in Celsius?,100 degrees
Which gas do plants absorb during photosynthesis?,Carbon dioxide
Who was the first woman to win a Nobel Prize?,Marie Curie
What is the currency of China?,Chinese Yuan
What is the distance from the Earth to the Sun?,Approximately 93 million miles
Who developed the theory of relativity?,Albert Einstein
What is the powerhouse of the cell?,Mitochondria
What is the melting point of ice in Fahrenheit?,32 degrees
Who is known as the Father of Computer Science?,Alan Turing
In what year did World War II end?,1945
What is the chemical symbol for gold?,Au
Who is the author of To Kill a Mockingbird?,Harper Lee
What is the square of 9?,81
Which gas makes up the majority of the Earth's atmosphere?,Nitrogen
Who was the first man to walk on the Moon?,Neil Armstrong
What is the largest desert in the world?,Antarctica
What is the speed of sound in air at sea level?,343 meters per second
Who discovered the law of gravity?,Isaac Newton
What is the smallest prime number?,2
What is the main ingredient in hummus?,Chickpeas
Who invented the telephone?,Alexander Graham Bell
What is the capital of Brazil?,Brasília
Who discovered penicillin?,Alexander Fleming
What is the largest planet in our solar system?,Jupiter
Who wrote 1984?,George Orwell
What is the smallest prime number greater than 10?,11
What is the currency of South Africa?,South African Rand
In which year did the Industrial Revolution begin?,1760
Who is known as the Queen of Pop?,Madonna
What is the main ingredient in sushi rolls?,Rice
Which planet is known as the Morning Star?,Venus
What is the chemical symbol for iron?,Fe
Who is the creator of the theory of psychoanalysis?,Sigmund Freud
What is the speed of light in a vacuum?,299
Who painted the ceiling of the Sistine Chapel?,Michelangelo
What is the largest moon in our solar system?,Ganymede
What is the capital of Canada?,Ottawa
Who developed the theory of evolution by natural selection?,Charles Darwin
What is the square root of 144?,12
What is the largest bird in the world?,Ostrich
Who directed the movie Schindler's List?,Steven Spielberg
What is the chemical symbol for silver?,Ag
In what year did the Berlin Wall fall?,1989
Who wrote Pride and Prejudice?,Jane Austen
What is the powerhouse of the cell?,Mitochondria
What is the melting point of lead in Celsius?,327.5 degrees
Who was the first woman to fly solo across the Atlantic?,Amelia Earhart
What is the capital of South Korea?,Seoul
What is the largest desert in Africa?,Sahara
Who discovered the circulation of blood in the human body?,William Harvey
What is the main ingredient in chocolate?,Cocoa